age,gender,country,english,condition,attention_check_name,attention_check_topic,own_personality_q1,own_personality_q2,own_personality_q3,own_personality_q4,own_personality_q5,own_personality_q6,own_personality_q7,own_personality_q8,own_personality_q9,personality_q1,personality_q2,personality_q3,personality_q4,personality_q5,personality_q6,personality_q7,personality_q8,personality_q9,personality_q10,personality_q11,personality_q12,personality_q13,personality_q14,godspeed_q1,godspeed_q2,godspeed_q3,godspeed_q4,godspeed_q5,godspeed_q6,godspeed_q7,godspeed_q8,godspeed_q9,godspeed_q10,godspeed_q11,godspeed_q12,godspeed_q13,rosas_q1,rosas_q2,rosas_q3,rosas_q4,rosas_q5,rosas_q6,rosas_q7,rosas_q8,rosas_q9,rosas_q10,rosas_q11,rosas_q12,rosas_q13
19,female,ZA,high,strap_ext_yes,2,1,4,2,4,2,6,4,4,4,3,0,4,0,0,0,6,6,6,6,6,6,6,6,6,1,1,4,1,2,2,4,2,4,2,5,2,2,2,2,3,0,1,0,0,3,3,3,2,3,3
32,female,ZA,high,strap_int_yes,4,1,4,4,5,2,6,2,4,3,2,5,1,1,1,2,3,4,3,3,3,4,2,2,6,2,1,3,2,2,3,3,3,3,3,3,4,3,1,1,3,1,1,1,0,2,3,3,2,2,2
22,female,EE,med,gpt_int_yes,4,1,5,4,4,3,6,4,1,1,2,3,5,3,4,2,3,4,3,4,4,6,6,5,6,4,4,5,3,4,5,5,5,5,5,4,1,2,3,3,3,2,4,2,0,0,1,0,0,0,0
23,female,PT,med,gpt_ext_yes,2,1,5,3,4,1,6,4,4,5,2,1,1,1,1,3,4,5,4,3,5,5,4,4,6,3,2,4,2,4,3,4,4,3,3,3,2,2,2,1,3,0,3,1,0,1,2,1,2,2,1
39,male,CA,high,strap_ext_yes,2,1,4,4,5,5,6,3,3,3,4,2,2,2,3,0,6,6,3,4,5,5,5,5,6,2,3,3,2,3,3,4,4,3,3,4,2,2,2,2,4,2,2,1,0,2,4,4,1,1,0
18,female,ZA,med,strap_int_yes,4,1,4,6,6,4,6,2,3,3,4,0,5,2,2,0,6,4,3,4,5,5,3,5,6,1,3,1,1,1,5,5,5,4,5,5,2,2,2,1,4,0,2,0,0,1,3,1,0,0,0
32,female,ZA,med,gpt_int_yes,4,1,4,2,4,0,6,4,5,5,2,0,4,4,2,6,1,4,4,4,1,6,6,6,6,3,1,2,5,2,3,2,4,3,3,5,1,3,3,2,1,1,1,0,0,4,3,0,4,2,3
30,female,ZA,high,gpt_ext_yes,4,1,1,1,1,3,6,5,5,5,5,1,1,1,1,1,5,5,3,3,3,6,6,6,6,5,4,3,3,3,5,5,5,5,5,5,1,3,2,1,2,3,3,2,0,0,0,2,0,0,0
21,female,ZA,high,strap_ext_yes,4,1,4,6,4,2,6,1,1,3,1,5,5,3,1,0,1,3,4,3,1,6,6,6,6,2,1,2,1,1,1,1,3,2,1,1,3,1,0,0,0,4,1,0,0,0,4,4,2,4,0
23,female,PT,med,strap_int_yes,4,0,4,3,5,2,6,3,5,6,5,3,3,4,3,3,0,3,0,0,0,6,6,6,6,1,1,1,1,2,1,3,3,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,female,ES,med,gpt_int_yes,4,1,1,2,1,0,6,5,5,4,5,1,1,0,1,4,5,4,5,2,3,6,5,5,6,2,1,2,2,1,2,2,3,2,3,4,2,2,0,0,2,0,0,1,0,3,3,4,3,2,1
22,female,ES,med,gpt_ext_yes,0,1,5,4,5,1,6,4,4,4,4,4,3,4,3,3,3,5,2,0,3,6,6,6,6,2,1,3,1,1,3,3,4,3,4,5,1,3,2,1,3,1,1,1,0,3,3,3,0,2,0
38,female,GB,high,strap_int_yes,4,1,4,3,4,4,6,4,1,5,2,1,1,0,0,1,5,6,4,4,4,6,0,2,6,2,2,1,1,2,4,4,4,4,4,5,1,3,3,1,4,0,3,1,0,0,1,1,0,0,0
22,female,PL,med,gpt_int_yes,0,1,3,0,0,0,6,6,6,6,6,3,3,2,3,4,3,3,1,4,6,6,6,5,6,3,1,3,2,5,5,5,5,5,5,5,1,3,4,3,2,2,2,3,0,3,3,1,0,0,0
20,female,PT,med,gpt_ext_yes,4,1,5,2,4,1,6,5,3,4,5,2,3,2,2,6,3,5,1,1,1,6,6,6,6,2,3,4,3,4,3,3,2,4,4,4,1,1,0,1,0,0,0,0,0,3,3,2,3,0,0
30,female,ZA,high,strap_ext_yes,4,1,2,1,2,2,6,4,4,5,4,1,1,1,0,1,4,5,3,0,3,4,3,5,6,1,1,2,1,1,2,3,3,1,2,3,3,3,2,0,2,0,2,0,0,3,4,4,4,3,1
26,female,PT,med,strap_int_yes,0,1,6,6,6,5,6,1,1,1,0,1,1,1,1,1,4,5,4,4,4,5,5,6,6,1,1,2,2,2,3,4,4,4,4,3,3,2,3,2,3,1,2,2,0,2,3,3,0,0,0
40,female,HU,med,gpt_int_yes,0,1,5,4,3,4,6,1,2,1,1,1,2,2,3,4,3,2,2,2,3,6,6,6,6,4,2,3,2,3,3,4,5,4,3,5,1,1,2,3,3,3,2,1,0,1,2,2,0,0,0
22,female,SI,med,gpt_ext_yes,2,1,4,1,2,1,6,5,3,4,4,0,0,0,0,5,4,4,4,4,4,6,5,5,6,2,2,1,2,2,4,5,5,5,5,1,1,3,3,0,3,3,2,2,0,0,1,0,0,0,0
24,female,ES,med,strap_ext_yes,4,1,4,3,4,4,6,5,3,4,2,3,3,3,3,2,3,3,6,3,3,5,5,3,6,1,1,1,1,2,3,2,3,3,3,3,3,3,2,0,2,0,1,0,0,3,4,3,2,2,2
21,female,ES,med,strap_int_yes,3,5,4,3,5,1,6,4,3,3,3,2,2,1,1,1,3,4,3,3,3,3,3,4,6,2,2,2,1,1,1,1,2,2,2,3,3,3,0,0,0,0,0,0,0,4,4,4,1,2,1
20,female,IT,med,gpt_int_yes,4,1,4,4,4,2,6,3,3,3,4,2,3,4,3,2,3,4,4,3,4,4,3,4,6,3,2,4,3,3,4,4,4,4,1,4,2,3,2,2,3,2,3,2,0,1,1,1,0,0,0
28,female,ZA,high,gpt_ext_yes,0,1,5,3,2,1,6,2,4,4,4,3,2,2,3,1,4,4,5,4,3,6,5,5,6,2,2,3,2,1,3,4,4,3,3,2,3,2,0,1,2,2,3,2,0,1,3,3,1,2,0
20,female,IT,med,strap_ext_yes,4,1,5,5,6,4,6,4,2,4,4,1,1,0,0,3,5,6,2,2,4,6,5,5,6,2,3,4,4,1,3,5,5,4,4,2,3,2,3,1,4,1,2,2,0,3,4,4,0,1,0
25,female,PT,med,strap_int_yes,4,1,5,5,3,1,5,4,3,4,4,1,4,3,3,2,3,5,3,3,2,5,0,1,0,1,1,2,1,2,2,3,3,1,3,3,2,2,2,2,2,0,2,0,0,3,3,2,2,3,0
38,female,IT,med,gpt_int_yes,2,1,5,6,4,2,6,1,3,3,1,1,3,2,0,0,4,5,4,3,4,6,6,6,6,2,1,2,2,3,3,4,1,4,4,5,1,2,3,1,1,1,1,0,0,2,4,4,1,1,0
30,female,PL,med,gpt_ext_yes,4,1,4,5,6,3,6,2,3,3,1,1,1,2,2,2,4,4,5,6,5,6,6,5,6,3,4,2,2,2,5,5,5,5,5,4,2,3,3,1,4,0,2,2,0,0,1,2,0,0,0
19,female,IT,med,strap_ext_yes,4,1,6,6,6,5,6,2,5,3,3,0,0,1,0,3,3,5,4,3,4,5,6,5,6,3,2,2,1,3,4,5,4,4,5,5,1,3,2,2,3,1,1,1,0,2,3,3,0,0,0
21,female,PL,med,strap_int_yes,4,0,2,1,1,1,6,4,4,4,5,3,4,2,4,5,1,4,2,1,2,6,6,5,6,2,2,3,2,2,3,3,5,4,5,3,2,2,2,1,1,1,3,0,0,3,4,3,2,2,0
29,female,ZA,med,gpt_int_yes,4,1,5,1,5,1,6,4,5,1,5,4,3,2,5,2,3,4,1,4,1,4,3,5,6,2,4,2,4,1,3,3,3,3,4,5,1,3,2,3,3,2,3,3,0,0,2,3,0,0,0
24,female,IL,med,gpt_ext_yes,4,1,1,2,4,1,6,4,4,3,4,3,4,4,1,4,3,4,2,1,4,6,5,5,6,3,2,4,3,1,1,2,4,2,2,3,2,2,1,3,2,1,2,1,0,1,4,3,0,2,0
25,female,LV,med,strap_ext_yes,4,1,4,3,4,2,6,4,5,5,5,1,0,2,0,1,5,5,4,3,4,6,2,4,6,2,3,4,2,2,4,1,5,3,5,3,2,3,1,2,3,3,3,1,0,1,3,4,0,0,3
64,female,ZA,high,strap_int_yes,2,1,0,6,5,3,6,0,3,3,1,3,4,3,3,3,3,3,3,3,3,5,5,5,6,4,4,3,3,3,3,4,4,4,3,4,1,2,0,2,2,2,2,2,0,0,0,0,0,0,0
23,female,IT,med,gpt_int_yes,4,1,4,4,5,3,6,4,1,2,3,2,2,4,2,4,4,3,3,4,4,5,4,4,6,4,3,4,4,3,2,5,4,4,5,3,2,3,3,3,4,3,4,4,0,0,1,1,1,0,0
25,female,ZA,high,gpt_ext_yes,4,1,4,4,5,3,6,2,3,4,3,3,4,3,2,2,3,4,2,2,1,5,5,5,6,1,3,3,2,2,3,4,3,4,3,5,5,3,2,2,3,1,2,1,0,0,2,1,0,0,0
19,female,ZA,high,strap_int_yes,2,1,3,1,0,2,6,5,5,6,6,2,3,2,2,3,3,4,2,3,4,6,6,6,6,1,2,2,1,1,3,2,3,3,3,3,1,2,2,2,3,2,2,2,0,2,3,2,2,2,2
22,female,PT,med,gpt_int_yes,4,1,2,2,4,3,6,5,5,5,4,2,3,3,3,0,1,2,0,0,3,3,5,4,6,1,1,1,1,1,1,1,1,1,1,3,3,2,1,0,0,0,0,0,0,4,4,4,3,4,3
25,female,IT,med,gpt_ext_yes,4,1,1,1,1,0,6,5,5,4,5,1,1,0,1,3,4,4,4,3,4,5,5,5,6,2,1,2,1,1,2,4,4,2,3,4,2,3,4,4,4,4,4,4,0,3,3,3,0,3,0
21,female,ZA,med,strap_ext_yes,0,1,4,4,4,1,0,4,4,5,4,1,3,1,1,3,4,4,0,3,4,5,3,4,0,1,2,2,1,3,4,4,3,3,4,2,2,2,2,1,3,2,2,1,0,3,3,3,1,2,2
23,female,PL,med,strap_ext_yes,4,1,3,5,6,5,6,1,2,4,2,2,1,1,3,2,4,4,4,5,5,6,5,5,6,2,3,4,4,3,5,5,5,5,5,5,2,3,3,4,4,2,4,4,0,0,1,0,0,0,0
31,male,FR,med,strap_int_yes,4,1,1,2,4,1,4,4,2,2,2,1,1,2,3,4,3,4,2,4,4,4,2,2,4,2,1,2,1,1,3,3,4,2,4,2,3,3,2,1,3,1,2,1,0,3,4,4,1,2,1
40,male,PT,high,gpt_int_yes,4,1,4,2,2,1,6,5,5,4,5,3,4,4,2,4,4,5,2,4,4,5,5,5,6,3,2,4,4,2,4,5,5,5,5,4,2,2,3,2,3,3,3,1,0,0,0,0,1,0,0
37,male,GB,med,gpt_ext_yes,0,1,6,6,2,6,6,4,6,2,2,0,0,0,0,0,6,6,6,6,6,6,6,6,6,1,1,5,1,1,5,5,5,5,3,5,1,1,0,0,4,0,4,2,0,0,4,0,2,0,0
22,male,PT,med,strap_ext_yes,4,5,4,4,3,3,6,4,4,4,4,2,2,3,3,4,4,3,4,1,2,4,4,4,6,3,3,2,3,3,4,4,3,4,3,2,4,3,2,2,3,3,1,1,0,2,2,2,1,1,1
23,male,ZA,med,strap_int_yes,1,0,6,5,5,0,6,1,6,6,0,0,3,0,0,3,4,6,6,5,0,6,5,6,6,3,1,1,1,4,5,5,5,5,5,5,2,3,1,0,1,0,3,0,0,2,2,2,1,1,1
24,male,PL,med,gpt_int_yes,4,5,3,0,4,4,6,5,6,6,6,4,2,0,4,3,1,4,0,0,1,5,3,5,6,4,3,3,2,4,3,3,3,4,4,2,1,3,1,1,1,3,2,3,0,0,1,1,0,0,0
40,male,CY,med,gpt_ext_yes,4,1,5,6,5,4,6,4,5,3,4,1,1,1,0,0,2,5,5,3,4,6,6,6,6,3,1,3,1,1,3,4,5,3,3,4,2,2,2,3,3,3,2,2,0,1,3,2,0,0,0
21,male,PT,med,strap_ext_yes,4,1,1,1,2,2,6,5,5,5,5,3,4,2,2,3,4,4,3,2,2,6,6,6,6,4,2,3,2,2,4,4,4,4,4,4,4,2,1,2,2,1,3,1,0,1,1,2,2,2,2
25,male,PT,med,strap_int_yes,4,0,4,4,4,5,6,5,4,4,4,2,2,2,3,2,4,5,4,2,4,3,2,4,6,2,2,3,2,1,3,4,3,4,4,5,2,2,1,1,3,0,1,1,0,1,2,3,1,0,0
25,male,PL,med,gpt_ext_yes,4,1,3,4,2,3,6,5,4,4,3,3,3,2,1,3,3,1,2,4,0,6,6,4,6,2,2,1,2,2,5,3,5,5,5,3,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0
45,male,HU,med,strap_ext_yes,2,1,3,2,2,1,6,5,3,3,2,4,4,4,4,3,2,2,2,2,2,5,3,3,6,2,2,2,2,1,3,4,4,4,4,3,3,2,3,3,1,2,1,1,0,0,1,1,0,0,0
27,male,PL,med,strap_int_yes,4,1,4,4,4,4,6,2,2,2,5,2,2,1,2,4,2,3,1,1,2,5,3,4,6,2,2,3,2,3,2,3,4,2,3,3,1,1,1,0,3,2,3,1,0,3,3,2,3,2,0
21,male,PL,med,gpt_int_yes,4,0,4,5,4,2,6,3,5,6,5,1,4,4,1,3,4,5,6,2,1,6,5,4,6,4,2,4,3,4,4,5,4,5,4,3,2,2,2,3,3,1,2,1,0,1,3,3,0,1,0
20,male,GB,high,gpt_ext_yes,4,1,4,4,1,2,6,2,3,5,4,1,1,3,1,3,4,5,0,1,1,6,5,4,6,4,2,1,3,2,5,4,4,5,5,5,1,3,2,0,2,2,1,0,0,3,2,1,2,0,0
23,male,PT,med,strap_ext_yes,4,1,3,4,4,4,6,4,5,5,4,1,3,2,1,1,4,4,5,5,5,6,5,6,6,3,3,3,4,3,5,5,4,5,4,4,3,2,4,4,4,2,3,1,0,0,1,1,0,0,0
24,male,HU,med,strap_int_yes,2,1,2,0,2,0,6,4,4,4,3,1,1,2,1,1,5,5,5,5,5,5,5,5,6,2,1,3,4,4,3,4,4,4,3,3,1,3,2,2,2,4,2,1,3,3,3,3,1,2,0
57,male,DK,med,gpt_int_yes,2,1,6,6,6,1,6,0,3,3,0,3,2,2,2,3,2,4,3,2,2,4,4,4,6,1,1,1,1,1,1,3,3,2,2,3,2,1,1,0,2,1,1,1,0,2,3,3,1,3,1
25,male,PT,med,gpt_ext_yes,4,1,6,5,6,2,6,1,5,3,0,1,1,1,1,0,5,6,6,6,3,6,6,6,6,4,2,1,3,4,5,5,5,5,5,4,2,3,3,0,4,3,3,1,0,0,3,0,0,0,0
37,male,ZA,med,strap_ext_yes,4,0,4,4,2,5,6,0,4,3,2,4,4,5,0,1,6,3,6,5,5,6,6,5,6,5,3,5,2,3,5,5,4,4,5,5,1,3,3,3,3,4,4,3,0,1,0,0,0,0,0
53,male,PT,med,strap_int_yes,2,1,4,4,4,3,6,3,3,3,2,3,3,3,3,3,3,4,2,3,2,5,5,4,6,4,4,2,2,2,3,4,3,3,3,3,2,2,2,2,2,2,2,1,0,1,2,2,1,1,1
33,male,IT,med,gpt_int_yes,2,0,4,4,3,5,6,4,3,2,4,1,1,4,1,4,4,4,3,2,4,6,4,6,6,1,2,1,2,3,4,4,4,3,3,2,1,2,0,1,1,2,1,0,0,0,2,2,0,3,0
22,male,EE,med,gpt_ext_yes,4,1,1,2,4,1,6,4,4,2,4,1,1,1,1,1,5,5,4,5,5,6,5,5,6,2,2,4,2,2,2,3,3,2,3,4,2,2,4,3,4,2,2,1,0,3,3,2,3,2,2
26,male,GR,med,strap_ext_yes,4,1,4,4,2,2,4,4,2,3,4,2,4,1,1,2,4,5,1,2,4,5,5,2,6,1,2,3,2,3,3,4,4,3,3,4,3,2,2,1,3,1,3,0,0,3,3,4,2,1,0
23,male,IT,med,strap_int_yes,4,1,4,5,6,4,6,3,1,2,3,2,1,5,2,1,5,5,5,3,4,4,2,3,6,2,2,2,1,2,3,4,4,3,3,3,3,2,1,0,1,0,1,0,0,2,3,3,1,2,1
37,other,ZA,high,gpt_ext_yes,2,1,4,4,4,2,6,5,5,4,4,2,4,4,3,2,4,4,1,0,2,4,1,4,6,1,1,1,1,1,1,3,3,2,1,1,3,2,2,2,1,0,0,0,0,2,3,4,1,4,2
31,male,EE,high,strap_ext_yes,2,1,4,4,4,3,6,4,4,4,3,1,3,4,3,4,5,5,5,5,4,6,5,5,6,3,4,4,4,3,4,4,4,4,4,4,3,3,3,2,3,3,3,1,0,3,2,2,0,0,0
21,male,PL,med,strap_int_yes,4,1,1,5,5,3,6,3,2,2,1,1,2,1,1,1,4,5,5,5,4,6,6,6,6,1,1,1,1,2,3,4,4,4,3,4,2,3,3,0,3,0,1,0,0,2,2,1,1,1,0
29,male,ZA,high,gpt_int_yes,4,0,2,0,0,0,0,1,1,1,1,2,1,2,1,1,0,1,1,1,0,2,1,1,6,4,3,3,4,3,4,3,4,3,4,4,3,3,2,2,2,2,3,3,0,1,1,0,2,2,2
22,male,ZA,med,gpt_ext_yes,0,0,6,6,5,0,6,3,5,3,6,0,4,0,0,0,4,6,6,3,4,5,6,6,6,5,5,1,2,1,5,5,5,5,5,5,1,3,4,1,4,1,4,2,0,0,0,0,0,0,0
25,male,LB,med,strap_ext_yes,4,1,0,6,1,0,6,0,5,5,6,0,6,0,1,0,6,6,6,6,6,6,6,6,6,4,1,3,1,4,4,4,4,4,4,2,4,2,0,0,2,0,0,0,0,3,4,4,0,1,0
37,male,LV,med,strap_int_yes,0,0,4,4,4,4,6,3,3,2,2,2,3,1,1,2,5,5,5,3,5,4,4,4,6,3,2,3,2,2,2,3,3,2,2,3,3,3,2,2,2,2,2,2,0,3,3,3,2,2,2
25,male,HU,med,strap_int_yes,2,1,1,5,5,1,6,1,2,1,0,1,4,1,4,3,5,4,3,3,1,5,1,4,6,1,3,3,1,2,3,3,4,3,3,5,1,3,2,0,3,0,1,0,0,3,3,1,0,2,0
31,male,PT,med,gpt_int_yes,0,1,4,2,4,1,6,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,4,0,2,0,0
26,male,HU,med,gpt_ext_yes,4,1,4,3,1,1,6,6,5,5,5,2,4,3,3,2,4,5,3,4,3,6,6,5,6,3,2,3,2,2,3,3,3,3,2,3,2,3,2,1,2,1,1,0,0,2,3,3,0,3,0
21,male,PL,med,gpt_int_yes,2,5,4,2,1,2,6,5,6,5,6,5,4,1,0,0,3,5,3,3,4,6,6,6,6,2,2,3,2,3,4,4,5,4,3,5,1,1,3,1,3,3,1,1,0,0,3,1,0,0,0
30,male,PL,med,gpt_int_yes,4,1,3,1,1,3,6,5,3,3,4,3,3,1,0,1,3,1,3,2,3,6,6,6,6,2,2,2,2,3,2,3,5,3,4,4,3,3,2,0,2,0,2,2,0,3,3,3,2,1,0
30,male,ZA,high,gpt_ext_yes,4,1,0,0,0,0,0,5,5,5,5,4,5,5,5,0,4,5,4,2,0,6,6,6,6,3,4,4,3,4,4,5,5,5,5,5,1,2,3,3,4,3,4,3,0,2,0,0,0,0,0
33,male,IT,med,strap_ext_yes,0,1,3,4,4,4,6,3,3,4,3,2,2,1,0,0,4,5,6,3,5,5,6,5,6,3,2,1,2,2,3,4,4,3,4,3,2,3,3,3,4,2,3,1,0,2,3,2,1,1,0
24,male,ZA,med,gpt_int_yes,0,1,6,6,0,0,6,6,6,1,0,0,1,2,0,0,0,6,6,6,0,6,6,5,6,5,5,5,1,3,5,5,5,5,5,5,1,1,4,4,4,4,4,4,0,0,0,0,0,0,0
45,male,GB,high,strap_ext_yes,0,1,4,3,4,2,6,2,3,2,2,2,2,2,3,1,1,3,1,3,1,5,5,4,6,1,1,1,1,1,3,3,3,3,3,3,1,2,2,0,1,0,1,0,0,0,2,2,0,1,0
